ID Lokasi,Nama Daerah,Kabupaten/Kota,Provinsi,rata_rata_temp,rata_rata_humi
501186,Bantul,Kab. Bantul,DI Yogyakarta,25.224137931034484,90.80172413793103
501187,Sleman,Kab. Sleman,DI Yogyakarta,24.726495726495727,89.72649572649573
501188,Wates,Kab. Kulon Progo,DI Yogyakarta,24.974358974358974,91.55555555555556
501189,Gunung Kidul,Kab. Gunung Kidul,DI Yogyakarta,24.70940170940171,91.24786324786325
501190,Yogyakarta,Kota Yogyakarta,DI Yogyakarta,25.22222222222222,90.33333333333333
5008023,Bambanglipuro,Kab. Bantul,DI Yogyakarta,25.4017094017094,90.47863247863248
5008024,Banguntapan,Kab. Bantul,DI Yogyakarta,25.136752136752136,90.5042735042735
5008025,Bantul,Kab. Bantul,DI Yogyakarta,25.213675213675213,90.77777777777777
5008026,Berbah,Kab. Sleman,DI Yogyakarta,25.05128205128205,90.51282051282051
5008027,Cangkringan,Kab. Sleman,DI Yogyakarta,24.017094017094017,89.83760683760684
5008028,Danurejan,Kota Yogyakarta,DI Yogyakarta,25.22222222222222,90.33333333333333
5008029,Depok,Kab. Sleman,DI Yogyakarta,24.846153846153847,89.82051282051282
5008030,Dlingo,Kab. Bantul,DI Yogyakarta,24.735042735042736,91.52136752136752
5008031,Galur,Kab. Kulon Progo,DI Yogyakarta,25.581196581196583,89.6923076923077
5008032,Gamping,Kab. Sleman,DI Yogyakarta,25.247863247863247,90.41025641025641
5008033,Gedangsari,Kab. Gunung Kidul,DI Yogyakarta,24.82905982905983,90.43589743589743
5008034,Gedongtengen,Kota Yogyakarta,DI Yogyakarta,25.23076923076923,90.36752136752136
5008035,Girimulyo,Kab. Kulon Progo,DI Yogyakarta,24.28205128205128,92.7948717948718
5008036,Girisubo,Kab. Gunung Kidul,DI Yogyakarta,25.35042735042735,89.7094017094017
5008037,Godean,Kab. Sleman,DI Yogyakarta,25.162393162393162,90.2905982905983
5008038,Gondokusuman,Kota Yogyakarta,DI Yogyakarta,25.034188034188034,90.08547008547009
5008039,Gondomanan,Kota Yogyakarta,DI Yogyakarta,25.22222222222222,90.33333333333333
