label,min_range_temperature,max_range_temperature,min_range_humidity,max_range_humidity,min_range_rainfall,max_range_rainfall,estimated_time
Daun Bawang,21.919622789303524,30.3591240810578,69.5595191778787,90.15359482590198,149.32802962239458,300.5626828633754,60
Kacang Tanah,26.86883296898465,34.17702389857024,64.48872366252697,75.49170825249493,48.30111832575479,119.85202212799491,90
Melon,26.69727299644957,30.36396251114837,89.53729372015637,95.48577237591064,18.94214334511657,30.53942570930699,75
Jeruk,10.816269480681129,34.537066555937294,89.24304173150736,95.49285335095502,99.30812050584257,120.77338253930898,180
Semangka,23.904962650986132,27.274914307916195,79.58080094946169,90.59559733172313,39.20633079085069,60.72636162260034,70
Kopi,22.777324521125127,28.04289208052183,50.20157074562347,69.39277825516106,118.953024863735,196.6382931430712,270
Pisang,24.735960411124548,29.686352793636875,75.17190336011316,85.38032598373465,88.87819904247146,120.9661695579486,90
Bawang Putih,22.83035707358139,30.255904123039176,64.43301188856,75.9593007470308,39.21175019461358,109.70864124096268,120
Kubis,21.99323486854973,28.46512706192456,74.53969849629685,90.7381027738317,148.98453464757014,250.1803252025952,90
Ubi Jalar,20.81911980168388,27.264992292742384,54.37882041231943,60.91394987214567,69.29564074653008,126.46871937574548,90
Teh,20.82696154774536,28.0720898805991,54.416992760373766,65.35568466669488,153.26740974921384,248.83400662411688,120
Mangga,26.87568857509752,35.99043839278822,44.605274657036006,55.31418891523861,88.38092459950312,102.11301444034706,125
Kacang Kedelai,24.791817675056077,33.48823290753656,64.29755185724119,80.74971410279056,99.399705040171,199.7071427324187,90
Padi,19.83599361518344,27.12033120583603,79.49808278528558,85.54833959590171,183.3999035124072,292.49018991505204,115
Pepaya,23.213544919309943,43.38985111216645,89.44099775354788,95.61523531098932,49.25868581232981,242.3067360753202,210
Bawang Merah,23.69472342374149,32.34650931411093,59.44908766868805,75.33153902567892,29.583201158983574,100.34593577850168,90
Jagung,17.857768488825272,26.425984589530387,55.525687599917006,74.56111974574335,61.33482518703247,110.40411200480854,90
Kacang Hijau,25.89342197836329,32.37803744598594,69.45147912230257,90.6361087152845,35.3441049640219,147.2,60
Singkong,24.73130401610919,30.309194675967227,59.33661794007199,65.66472930717804,103.22803867133048,245.30756617305207,120
Cabai,23.61758888850999,32.46973461285512,69.13784564388331,85.42008062768306,99.54473535172843,247.99742739656187,90
