label,min_range_temperature,max_range_temperature,min_range_humidity,max_range_humidity,min_range_rainfall,max_range_rainfall,estimated_time
padi,20.2800712,26.7320648,80.28362927,84.59609431,185.197438,290.7103425,105
gandum,21.32339766,33.23240533,50.54484143,59.47871121,81.96083518,159.6409731,120
kacang hijau,27.11030175,29.86895569,80.44625145,89.71960682,37.23469744,58.5465992,65
teh,21.31388231,27.6557178,55.38065416,64.39173836,155.0653236,247.2123321,365
jagung mutiara,40.39532744,49.51567235,10.19958939,15.33579021,35.65966035,48.82388875,90
jagung,18.28214391,25.97981747,56.50010826,73.59052499,63.03219202,108.5181845,90
kacang lentil,18.43256915,29.22456926,60.47276414,69.41121238,36.08456182,53.31978446,110
rami,23.17373906,26.82738976,71.30960251,88.38854647,151.8673255,196.6818665,150
kopi,23.1768489,27.58103975,51.08826183,68.48093882,120.5985918,194.9221468,270
kapas,22.14399953,25.69120558,75.61722062,84.56081349,62.63534949,97.80793457,180
kacang tanah,30.13830428,33.84458387,57.09209187,74.29506461,69.70653653,142.9472104,100
kacang polong,16.17556584,18.85789561,13.04476197,13.94607873,45.65130551,54.55368154,70
karet,21.32339766,33.23240533,61.04698585,78.99108657,205.4618099,385.086491,2190
tebu,25.33570044,29.63506485,75.93706066,84.59101818,104.9332789,170.3800543,360
tembakau,19.29700927,27.78060845,60.5156751,69.52947176,75.46759701,84.26290641,120
kacang merah,15.78539828,24.33077049,18.29261165,24.90849259,63.34842965,143.8734064,90
kacang ngengat,24.47029383,31.22874046,41.80146525,63.05420687,32.67293251,72.21616865,75
kelapa,25.09756427,29.52703757,90.98320185,99.64634809,134.0290244,224.3247255,365
kacang hitam,25.65298437,34.13864756,60.44472621,69.10334734,61.69900519,74.2234961,100
kacang adzuki,50.36397424,54.77993503,40.86206027,64.32269943,54.12270817,168.5352775,90
kacang gude,19.02810831,36.21424483,32.45252258,66.70780373,94.4002714,195.5806533,150
kacang arab,17.16485385,20.7197739,14.42027019,19.68920724,68.46809013,93.36046554,180
pisang,25.14736487,29.42156793,76.10953962,84.51753456,90.80524328,118.9970203,300
anggur,9.944994759,40.68644924,80.12086637,83.71642676,65.51651941,74.40509475,150
apel,21.16892756,23.8314799,90.23669023,94.67871125,102.2439857,123.6003708,180
mangga,27.35003104,35.54334133,45.56457891,54.39642503,89.97405421,100.2181868,150
blewah,27.11398694,29.87386051,90.32731875,94.79016045,20.75707821,28.99196777,70
jeruk,11.02134028,34.07603266,90.15354599,94.55455292,101.1453817,119.0417975,240
pepaya,23.6817898,42.94110805,90.20227736,94.63707378,50.95886237,240.4899322,240
delima,18.40417874,24.81651358,85.5537729,94.64402086,102.8573031,111.9796717,180
semangka,24.28888877,26.82060057,80.45467276,89.63725244,41.14698587,58.99310824,75
