LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-8.15,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,364.6401,Rendah,50 - 100 mm,80.6345
-8.15,110.7,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,375.3539,Rendah,50 - 100 mm,84.9624
-8.15,110.75,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,390.7278,Rendah,50 - 100 mm,84.6463
-8.1,110.45,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,326.4012,Rendah,20 - 50 mm,38.222
-8.1,110.5,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,331.9976,Rendah,20 - 50 mm,43.9715
-8.1,110.55,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,337.3996,Rendah,50 - 100 mm,54.6479
-8.1,110.6,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,342.8095,Rendah,50 - 100 mm,68.8765
-8.1,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,349.9859,Rendah,50 - 100 mm,78.3018
-8.1,110.7,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,360.4045,Rendah,50 - 100 mm,78.8663
-8.1,110.75,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,375.7632,Rendah,50 - 100 mm,73.9784
-8.05,110.4,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,315.3695,Rendah,20 - 50 mm,27.4663
-8.05,110.45,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,318.8223,Rendah,20 - 50 mm,27.7491
-8.05,110.5,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,322.1351,Rendah,20 - 50 mm,32.5894
