LAT,LON,KelasCH,Bulan,Id Kabkot,Id Prov,CH,KategoriCH,KategoriSH,KelasSH,SH
-8.15,110.65,200 - 300 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,210.2132,Menengah,Atas Normal,115% - 150%,116.1764
-8.15,110.7,200 - 300 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,204.4253,Menengah,Atas Normal,115% - 150%,115.7366
-8.15,110.75,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,197.3355,Menengah,Atas Normal,115% - 150%,115.5267
-8.1,110.45,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,190.7659,Menengah,Normal,85% - 115%,112.8784
-8.1,110.5,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,185.031,Menengah,Normal,85% - 115%,112.0006
-8.1,110.55,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,187.0728,Menengah,Normal,85% - 115%,111.7141
-8.1,110.6,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,199.5212,Menengah,Normal,85% - 115%,111.8435
-8.1,110.65,200 - 300 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,206.5033,Menengah,Normal,85% - 115%,112.1743
-8.1,110.7,200 - 300 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,202.8404,Menengah,Normal,85% - 115%,112.0517
-8.1,110.75,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,196.5958,Menengah,Normal,85% - 115%,112.0738
-8.05,110.4,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,180.2934,Menengah,Normal,85% - 115%,109.5997
-8.05,110.45,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,184.289,Menengah,Normal,85% - 115%,109.7186
-8.05,110.5,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,170.2934,Menengah,Normal,85% - 115%,108.0263
-8.05,110.55,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,169.2454,Menengah,Normal,85% - 115%,106.8972
-8.05,110.6,150 - 200 mm,APR,Gunungkidul,Daerah Istimewa Yogyakarta,191.3808,Menengah,Normal,85% - 115%,107.228
