LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KelasCH,KategoriCH,CH
-8.15,110.65,115% - 150%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,117.4316,400 - 500 mm,Tinggi,452.4859
-8.15,110.7,115% - 150%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,116.2812,400 - 500 mm,Tinggi,421.4987
-8.15,110.75,115% - 150%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,115.0081,300 - 400 mm,Tinggi,386.6757
-8.1,110.45,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,110.5094,300 - 400 mm,Tinggi,358.0659
-8.1,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,111.4197,300 - 400 mm,Tinggi,375.0176
-8.1,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,112.5996,400 - 500 mm,Tinggi,401.9702
-8.1,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,112.8295,400 - 500 mm,Tinggi,437.8918
-8.1,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,112.5128,400 - 500 mm,Tinggi,443.644
-8.1,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,111.4052,400 - 500 mm,Tinggi,404.8752
-8.1,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,110.2622,300 - 400 mm,Tinggi,365.1559
-8.05,110.4,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.8954,300 - 400 mm,Tinggi,323.5804
-8.05,110.45,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.0989,300 - 400 mm,Tinggi,348.9917
-8.05,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.7462,300 - 400 mm,Tinggi,350.3967
-8.05,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.8124,300 - 400 mm,Tinggi,356.4515
-8.05,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,108.085,300 - 400 mm,Tinggi,396.2476
-8.05,110.65,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.6103,300 - 400 mm,Tinggi,392.393
-8.05,110.7,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,107.2983,300 - 400 mm,Tinggi,373.9592
-8.05,110.75,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,106.8395,300 - 400 mm,Tinggi,347.7909
-8,110.25,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,105.0324,300 - 400 mm,Tinggi,387.4473
-8,110.3,85% - 115%,FEB,Bantul,Daerah Istimewa Yogyakarta,Normal,105.1438,300 - 400 mm,Tinggi,395.0949
-8,110.35,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,103.4619,300 - 400 mm,Tinggi,336.0537
-8,110.4,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,103.1273,300 - 400 mm,Tinggi,332.8069
-8,110.45,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.5513,300 - 400 mm,Tinggi,348.03
-8,110.5,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.2558,300 - 400 mm,Tinggi,338.8745
-8,110.55,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,105.1923,300 - 400 mm,Tinggi,347.305
-8,110.6,85% - 115%,FEB,Gunungkidul,Daerah Istimewa Yogyakarta,Normal,104.6965,300 - 400 mm,Tinggi,359.828
