LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-8.15,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,250.2671,Menengah,100 - 150 mm,117.4931
-8.15,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,252.9744,Menengah,100 - 150 mm,103.6339
-8.15,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,258.6855,Rendah,50 - 100 mm,88.59
-8.1,110.45,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,240.2753,Rendah,50 - 100 mm,89.0151
-8.1,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,240.4686,Rendah,50 - 100 mm,94.4338
-8.1,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,240.0228,Menengah,100 - 150 mm,101.4895
-8.1,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,239.7487,Menengah,100 - 150 mm,110.865
-8.1,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,240.5477,Menengah,100 - 150 mm,108.3654
-8.1,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,243.295,Rendah,50 - 100 mm,89.0207
-8.1,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,248.9739,Rendah,50 - 100 mm,71.0148
-8.05,110.4,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,231.7731,Rendah,50 - 100 mm,71.2125
-8.05,110.45,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,231.9995,Rendah,50 - 100 mm,77.0904
-8.05,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,231.4711,Rendah,50 - 100 mm,75.7327
-8.05,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,230.7223,Rendah,50 - 100 mm,79.3809
-8.05,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,230.4383,Rendah,50 - 100 mm,88.1895
-8.05,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,231.2986,Rendah,50 - 100 mm,82.6861
-8.05,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,234.0728,Rendah,50 - 100 mm,69.3013
-8.05,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,239.6574,Rendah,50 - 100 mm,56.1098
-8,110.25,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,214.1484,Rendah,50 - 100 mm,64.1535
-8,110.3,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,215.7073,Rendah,50 - 100 mm,65.0221
-8,110.35,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,218.4003,Rendah,50 - 100 mm,56.8974
-8,110.4,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,223.2563,Rendah,50 - 100 mm,57.5173
-8,110.45,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,223.1068,Rendah,50 - 100 mm,56.9986
-8,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,222.4388,Rendah,50 - 100 mm,52.0082
-8,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,221.7143,Rendah,50 - 100 mm,53.55
-8,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,221.4681,Rendah,50 - 100 mm,59.1471
-8,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,222.3223,Rendah,50 - 100 mm,62.3569
-8,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,225.0055,Rendah,50 - 100 mm,50.8235
-8,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,230.3759,Rendah,20 - 50 mm,40.1881
-7.95,110.25,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,206.9055,Rendah,50 - 100 mm,55.9262
-7.95,110.3,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,208.6503,Rendah,50 - 100 mm,54.2036
-7.95,110.35,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,211.2952,Rendah,20 - 50 mm,41.1757
-7.95,110.4,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,216.1665,Rendah,20 - 50 mm,31.4557
-7.95,110.45,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,216.4096,Rendah,20 - 50 mm,40.4479
-7.95,110.5,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,216.0338,Rendah,20 - 50 mm,42.3122
-7.95,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,215.5681,Rendah,20 - 50 mm,42.6993
-7.95,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,215.526,Rendah,20 - 50 mm,40.6116
-7.95,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,216.4793,Rendah,20 - 50 mm,47.3961
-7.95,110.7,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,219.0472,Rendah,20 - 50 mm,35.7526
-7.95,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,223.6388,Rendah,20 - 50 mm,35.3494
-7.95,110.15,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,203.6384,Rendah,50 - 100 mm,54.4012
-7.95,110.2,> 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,205.4343,Rendah,50 - 100 mm,53.7085
-7.9,110.3,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,203.4575,Rendah,20 - 50 mm,43.5957
