LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KelasCH,KategoriCH,CH
-8.15,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.8515,100 - 150 mm,Menengah,138.1625
-8.15,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.9169,100 - 150 mm,Menengah,126.6854
-8.15,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,168.1393,100 - 150 mm,Menengah,112.3762
-8.1,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,169.3372,50 - 100 mm,Rendah,90.087
-8.1,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,168.3439,100 - 150 mm,Menengah,101.77
-8.1,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.7143,100 - 150 mm,Menengah,116.4398
-8.1,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.4758,100 - 150 mm,Menengah,134.9529
-8.1,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.7311,100 - 150 mm,Menengah,137.9362
-8.1,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.7221,100 - 150 mm,Menengah,118.0179
-8.1,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.7453,50 - 100 mm,Rendah,98.4713
-8.05,110.4,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.9005,50 - 100 mm,Rendah,71.4512
-8.05,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.4311,50 - 100 mm,Rendah,76.4732
-8.05,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.2619,50 - 100 mm,Rendah,84.9355
-8.05,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.0482,50 - 100 mm,Rendah,94.2485
