LAT,LON,KelasCH,Bulan,Id Kabkot,Id Prov,KategoriCH,CH,SH,KategoriSH,KelasSH,Id Pulau,Id Prov Init,Nogrid
-8.15,110.65,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,111.8348,144.6916,Atas Normal,115% - 150%,Jawa,DIY,104888
-8.15,110.7,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,105.579,144.2934,Atas Normal,115% - 150%,Jawa,DIY,105224
-8.15,110.75,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,99.3372,144.2465,Atas Normal,115% - 150%,Jawa,DIY,105560
-8.1,110.45,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,92.7905,142.108,Atas Normal,115% - 150%,Jawa,DIY,103545
-8.1,110.5,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,98.8894,143.1176,Atas Normal,115% - 150%,Jawa,DIY,103881
-8.1,110.55,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,105.1337,143.3884,Atas Normal,115% - 150%,Jawa,DIY,104217
-8.1,110.6,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,111.6377,143.3487,Atas Normal,115% - 150%,Jawa,DIY,104553
-8.1,110.65,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,111.4723,143.1119,Atas Normal,115% - 150%,Jawa,DIY,104889
-8.1,110.7,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,103.4862,142.3896,Atas Normal,115% - 150%,Jawa,DIY,105225
-8.1,110.75,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,95.2558,142.0192,Atas Normal,115% - 150%,Jawa,DIY,105561
-8.05,110.4,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,76.8642,138.3033,Atas Normal,115% - 150%,Jawa,DIY,103210
-8.05,110.45,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,93.6685,140.7006,Atas Normal,115% - 150%,Jawa,DIY,103546
-8.05,110.5,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,97.8963,141.5325,Atas Normal,115% - 150%,Jawa,DIY,103882
-8.05,110.55,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,99.8176,141.4748,Atas Normal,115% - 150%,Jawa,DIY,104218
-8.05,110.6,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,108.453,141.4084,Atas Normal,115% - 150%,Jawa,DIY,104554
-8.05,110.65,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,106.3022,140.6802,Atas Normal,115% - 150%,Jawa,DIY,104890
-8.05,110.7,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,100.8624,140.0766,Atas Normal,115% - 150%,Jawa,DIY,105226
-8.05,110.75,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,94.8348,140.4223,Atas Normal,115% - 150%,Jawa,DIY,105562
-8,110.25,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,96.3567,129.6,Atas Normal,115% - 150%,Jawa,DIY,102203
-8,110.3,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,88.0036,129.8285,Atas Normal,115% - 150%,Jawa,DIY,102539
-8,110.35,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,73.4638,132.675,Atas Normal,115% - 150%,Jawa,DIY,102875
-8,110.4,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,80.9515,136.6976,Atas Normal,115% - 150%,Jawa,DIY,103211
-8,110.45,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,97.5143,138.7477,Atas Normal,115% - 150%,Jawa,DIY,103547
-8,110.5,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,103.489,139.554,Atas Normal,115% - 150%,Jawa,DIY,103883
-8,110.55,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,108.433,139.0687,Atas Normal,115% - 150%,Jawa,DIY,104219
-8,110.6,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,111.9484,138.3731,Atas Normal,115% - 150%,Jawa,DIY,104555
-8,110.65,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,102.2966,137.2408,Atas Normal,115% - 150%,Jawa,DIY,104891
-8,110.7,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,98.5595,136.7867,Atas Normal,115% - 150%,Jawa,DIY,105227
-8,110.75,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,90.6687,136.9716,Atas Normal,115% - 150%,Jawa,DIY,105563
-7.95,110.25,100 - 150 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Menengah,109.3321,130.1723,Atas Normal,115% - 150%,Jawa,DIY,102204
-7.95,110.3,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,99.3367,129.9108,Atas Normal,115% - 150%,Jawa,DIY,102540
-7.95,110.35,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,81.3536,131.2745,Atas Normal,115% - 150%,Jawa,DIY,102876
-7.95,110.4,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,72.2477,133.0995,Atas Normal,115% - 150%,Jawa,DIY,103212
-7.95,110.45,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,108.2403,136.5351,Atas Normal,115% - 150%,Jawa,DIY,103548
-7.95,110.5,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,124.5695,137.0871,Atas Normal,115% - 150%,Jawa,DIY,103884
-7.95,110.55,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,129.2953,135.8444,Atas Normal,115% - 150%,Jawa,DIY,104220
-7.95,110.6,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,116.8674,133.365,Atas Normal,115% - 150%,Jawa,DIY,104556
-7.95,110.65,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,110.0798,133.2445,Atas Normal,115% - 150%,Jawa,DIY,104892
-7.95,110.7,100 - 150 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Menengah,100.1915,132.7587,Atas Normal,115% - 150%,Jawa,DIY,105228
-7.95,110.75,50 - 100 mm,MEI,Gunungkidul,Daerah Istimewa Yogyakarta,Rendah,98.6858,133.3218,Atas Normal,115% - 150%,Jawa,DIY,105564
-7.95,110.15,50 - 100 mm,MEI,Kulon Progo,Daerah Istimewa Yogyakarta,Rendah,88.0395,122.3768,Atas Normal,115% - 150%,Jawa,DIY,101532
-7.95,110.2,50 - 100 mm,MEI,Kulon Progo,Daerah Istimewa Yogyakarta,Rendah,98.2093,127.5329,Atas Normal,115% - 150%,Jawa,DIY,101868
-7.9,110.3,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,99.6564,127.9233,Atas Normal,115% - 150%,Jawa,DIY,102541
-7.9,110.35,50 - 100 mm,MEI,Bantul,Daerah Istimewa Yogyakarta,Rendah,84.0544,125.7201,Atas Normal,115% - 150%,Jawa,DIY,102877
