LAT,LON,KelasSH_feb,Bulan_feb,Id Prov,KategoriSH_feb,SH_feb,KelasCH_feb,KategoriCH_feb,CH_feb,KelasSH_des,Bulan_des,KategoriSH_des,SH_des,KategoriCH_des,KelasCH_des,CH_des,KelasSH_jan,Bulan_jan,KategoriSH_jan,SH_jan,CH_jan,KelasCH_jan,KategoriCH_jan,rainfall,Sifat_Hujan_Rata,temperature,humidity,predicted_usable
-8.15,110.65,115% - 150%,FEB,Daerah Istimewa Yogyakarta,Atas Normal,117.4316,400 - 500 mm,Tinggi,452.4859,115% - 150%,DES,Atas Normal,146.4283,Sangat Tinggi,> 500 mm,609.4785,85% - 115%,JAN,Normal,114.4883,455.4063,400 - 500 mm,Tinggi,505.7902333333333,126.11606666666668,24.70940170940171,91.24786324786324,pepaya
-8.15,110.7,115% - 150%,FEB,Daerah Istimewa Yogyakarta,Atas Normal,116.2812,400 - 500 mm,Tinggi,421.4987,115% - 150%,DES,Atas Normal,145.0295,Sangat Tinggi,> 500 mm,559.7569,85% - 115%,JAN,Normal,113.207,431.3611,400 - 500 mm,Tinggi,470.8722333333333,124.83923333333333,24.70940170940171,91.24786324786324,pepaya
-8.15,110.75,115% - 150%,FEB,Daerah Istimewa Yogyakarta,Atas Normal,115.0081,300 - 400 mm,Tinggi,386.6757,115% - 150%,DES,Atas Normal,143.4213,Sangat Tinggi,> 500 mm,507.4721,85% - 115%,JAN,Normal,111.706,402.844,400 - 500 mm,Tinggi,432.3306,123.37846666666668,24.70940170940171,91.24786324786324,pepaya
-8.1,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,110.5094,300 - 400 mm,Tinggi,358.0659,115% - 150%,DES,Atas Normal,137.1493,Sangat Tinggi,> 500 mm,512.2712,85% - 115%,JAN,Normal,107.853,399.9005,300 - 400 mm,Tinggi,423.4125333333333,118.5039,24.70940170940171,91.24786324786324,pepaya
-8.1,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,111.4197,300 - 400 mm,Tinggi,375.0176,115% - 150%,DES,Atas Normal,137.2903,Sangat Tinggi,> 500 mm,507.7401,85% - 115%,JAN,Normal,109.0243,408.5059,400 - 500 mm,Tinggi,430.4212,119.24476666666668,24.70940170940171,91.24786324786324,pepaya
-8.1,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,112.5996,400 - 500 mm,Tinggi,401.9702,115% - 150%,DES,Atas Normal,138.1748,Sangat Tinggi,> 500 mm,523.1091,85% - 115%,JAN,Normal,110.3429,424.78,400 - 500 mm,Tinggi,449.9531,120.37243333333332,24.70940170940171,91.24786324786324,pepaya
-8.1,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,112.8295,400 - 500 mm,Tinggi,437.8918,115% - 150%,DES,Atas Normal,138.5402,Sangat Tinggi,> 500 mm,560.4085,85% - 115%,JAN,Normal,110.6008,446.4184,400 - 500 mm,Tinggi,481.5729,120.65683333333334,24.70940170940171,91.24786324786324,pepaya
-8.1,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,112.5128,400 - 500 mm,Tinggi,443.644,115% - 150%,DES,Atas Normal,138.2213,Sangat Tinggi,> 500 mm,566.7143,85% - 115%,JAN,Normal,110.2695,448.9541,400 - 500 mm,Tinggi,486.4374666666667,120.33453333333334,24.70940170940171,91.24786324786324,pepaya
-8.1,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,111.4052,400 - 500 mm,Tinggi,404.8752,115% - 150%,DES,Atas Normal,136.892,Sangat Tinggi,> 500 mm,511.592,85% - 115%,JAN,Normal,109.0584,419.341,400 - 500 mm,Tinggi,445.2694,119.11853333333332,24.70940170940171,91.24786324786324,pepaya
-8.1,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,110.2622,300 - 400 mm,Tinggi,365.1559,115% - 150%,DES,Atas Normal,135.408,Tinggi,400 - 500 mm,456.5725,85% - 115%,JAN,Normal,107.5146,388.5075,300 - 400 mm,Tinggi,403.4119666666666,117.72826666666668,24.70940170940171,91.24786324786324,pepaya
-8.05,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.8954,300 - 400 mm,Tinggi,323.5804,115% - 150%,DES,Atas Normal,131.0758,Tinggi,400 - 500 mm,465.634,85% - 115%,JAN,Normal,103.5805,372.4759,300 - 400 mm,Tinggi,387.2301000000001,113.51723333333332,24.70940170940171,91.24786324786324,pepaya
-8.05,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,107.0989,300 - 400 mm,Tinggi,348.9917,115% - 150%,DES,Atas Normal,130.6315,Tinggi,400 - 500 mm,485.2448,85% - 115%,JAN,Normal,104.9971,394.253,300 - 400 mm,Tinggi,409.4965,114.2425,24.70940170940171,91.24786324786324,pepaya
