LAT,LON,KelasSH_bulan1,Bulan_bulan1,Id Kabkot,Id Prov,KategoriSH_bulan1,SH_bulan1,KelasCH_bulan1,KategoriCH_bulan1,CH_bulan1,KelasSH_bulan2,Bulan_bulan2,KategoriSH_bulan2,SH_bulan2,KategoriCH_bulan2,KelasCH_bulan2,CH_bulan2,KelasSH_bulan3,Bulan_bulan3,KategoriSH_bulan3,SH_bulan3,KategoriCH_bulan3,KelasCH_bulan3,CH_bulan3,rainfall,Sifat_Hujan_Rata,temperature,humidity,prediksi_awal,rekomendasi_final
-8.15,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.8515,100 - 150 mm,Menengah,138.1625,> 200%,JUL,Atas Normal,250.2671,Menengah,100 - 150 mm,117.4931,> 200%,AGT,Atas Normal,364.6401,Rendah,50 - 100 mm,80.6345,112.0967,260.5862333333334,26.33870967741936,83.3225806451613,"[{'nama': 'Pisang', 'skor': '85%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '10%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '85%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '10%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]"
-8.15,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.9169,100 - 150 mm,Menengah,126.6854,> 200%,JUL,Atas Normal,252.9744,Menengah,100 - 150 mm,103.6339,> 200%,AGT,Atas Normal,375.3539,Rendah,50 - 100 mm,84.9624,105.0939,265.0817333333334,26.483870967741936,83.09677419354838,"[{'nama': 'Pisang', 'skor': '89%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '9%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '89%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '9%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]"
-8.15,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,168.1393,100 - 150 mm,Menengah,112.3762,> 200%,JUL,Atas Normal,258.6855,Rendah,50 - 100 mm,88.59,> 200%,AGT,Atas Normal,390.7278,Rendah,50 - 100 mm,84.6463,95.20416666666668,272.51753333333335,26.096774193548388,83.69354838709677,"[{'nama': 'Pisang', 'skor': '83%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '14%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '83%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '14%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.1,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,169.3372,50 - 100 mm,Rendah,90.087,> 200%,JUL,Atas Normal,240.2753,Rendah,50 - 100 mm,89.0151,> 200%,AGT,Atas Normal,326.4012,Rendah,20 - 50 mm,38.222,72.44136666666667,245.3379,26.62903225806452,82.79032258064517,"[{'nama': 'Kacang Hijau', 'skor': '94%', 'kategori': 'sangat ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}, {'nama': 'Pisang', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '94%', 'kategori': 'sangat ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}, {'nama': 'Pisang', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.1,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,168.3439,100 - 150 mm,Menengah,101.77,> 200%,JUL,Atas Normal,240.4686,Rendah,50 - 100 mm,94.4338,> 200%,AGT,Atas Normal,331.9976,Rendah,20 - 50 mm,43.9715,80.05843333333333,246.9367,26.758064516129032,82.64516129032258,"[{'nama': 'Kacang Hijau', 'skor': '78%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '18%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '78%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '18%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]"
-8.1,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.7143,100 - 150 mm,Menengah,116.4398,> 200%,JUL,Atas Normal,240.0228,Menengah,100 - 150 mm,101.4895,> 200%,AGT,Atas Normal,337.3996,Rendah,50 - 100 mm,54.6479,90.85906666666666,248.04556666666667,26.241935483870968,83.33870967741936,"[{'nama': 'Pisang', 'skor': '73%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '23%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '73%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '23%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.1,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.4758,100 - 150 mm,Menengah,134.9529,> 200%,JUL,Atas Normal,239.7487,Menengah,100 - 150 mm,110.865,> 200%,AGT,Atas Normal,342.8095,Rendah,50 - 100 mm,68.8765,104.89813333333332,249.3446666666667,26.274193548387096,82.93548387096774,"[{'nama': 'Pisang', 'skor': '90%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '7%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '90%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '7%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.1,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.7311,100 - 150 mm,Menengah,137.9362,> 200%,JUL,Atas Normal,240.5477,Menengah,100 - 150 mm,108.3654,> 200%,AGT,Atas Normal,349.9859,Rendah,50 - 100 mm,78.3018,108.20113333333336,251.7549,26.33870967741936,83.3225806451613,"[{'nama': 'Pisang', 'skor': '88%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '9%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '88%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '9%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '2%', 'kategori': 'cukup ideal'}]"
-8.1,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.7221,100 - 150 mm,Menengah,118.0179,> 200%,JUL,Atas Normal,243.295,Rendah,50 - 100 mm,89.0207,> 200%,AGT,Atas Normal,360.4045,Rendah,50 - 100 mm,78.8663,95.30163333333331,256.14053333333334,25.596774193548388,85.3225806451613,"[{'nama': 'Pisang', 'skor': '76%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '19%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]","[{'nama': 'Pisang', 'skor': '76%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '19%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]"
-8.1,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.7453,50 - 100 mm,Rendah,98.4713,> 200%,JUL,Atas Normal,248.9739,Rendah,50 - 100 mm,71.0148,> 200%,AGT,Atas Normal,375.7632,Rendah,50 - 100 mm,73.9784,81.15483333333333,263.4941333333333,25.41935483870968,86.16129032258064,"[{'nama': 'Kacang Hijau', 'skor': '79%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '13%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '5%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '79%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '13%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '5%', 'kategori': 'cukup ideal'}]"
